lat,long,date
25.17,-80.969,2015-04-18
25.172,-80.958,2015-04-18
25.177,-80.659,2015-05-29
25.185,-80.914,2015-07-14
25.2,-80.736,2015-05-19
25.561,-97.753,2015-07-23
25.587,-80.903,2015-07-11
25.592,-80.397,2015-05-30
25.599,-80.393,2015-05-30
25.628,-97.744,2015-08-14
25.628,-97.744,2015-08-14
25.628,-97.743,2015-08-14
25.632,-80.552,2015-01-22
25.655,-97.49,2015-05-01
25.66,-97.399,2015-07-16
25.669,-98.31,2015-09-05
25.71,-98.502,2015-08-28
25.727,-80.48,2015-04-20
25.763,-80.932,2015-02-03
25.773,-80.89,2015-02-03
25.78,-80.937,2015-02-03
25.787,-80.887,2015-02-03
25.79,-80.895,2015-02-03
25.798,-80.981,2015-02-04
25.814,-97.643,2015-08-06
25.829,-97.811,2015-08-03
25.835,-97.433,2015-06-27
25.882,-80.363,2015-08-16
25.882,-80.363,2015-08-16
25.885,-80.38,2015-09-04
25.894,-80.472,2015-02-13
25.909,-97.904,2015-08-03
25.909,-81.313,2015-02-23
25.926,-97.404,2015-08-28
25.931,-98.014,2015-07-21
25.938,-81.312,2015-02-17
25.939,-81.305,2015-02-17
25.949,-81.379,2015-02-04
25.951,-80.541,2015-08-19
25.951,-80.541,2015-08-19
25.951,-80.541,2015-08-19
25.955,-81.729,2015-07-03
25.955,-80.547,2015-08-19
25.955,-80.547,2015-08-19
25.955,-80.547,2015-08-19
25.957,-81.333,2015-02-24
25.961,-80.544,2015-08-19
25.961,-80.544,2015-08-19
25.961,-80.544,2015-08-19
25.963,-80.538,2015-08-19
25.965,-97.943,2015-08-14
25.965,-97.943,2015-08-14
25.965,-97.943,2015-08-14
25.976,-98.308,2015-08-16
25.982,-80.526,2015-08-20
25.985,-97.952,2015-08-15
25.987,-81.079,2015-07-11
25.988,-81.058,2015-07-12
25.989,-81.125,2015-05-21
25.991,-81.151,2015-05-20
25.993,-81.189,2015-03-05
25.997,-98.316,2015-02-20
25.999,-81.574,2015-08-06
25.999,-80.968,2015-07-05
26.003,-98.325,2015-07-23
26.004,-80.5,2015-08-21
26.005,-81.127,2015-05-19
26.006,-98.314,2015-08-24
26.006,-98.314,2015-08-24
26.006,-98.314,2015-08-24
26.006,-98.303,2015-02-20
26.006,-81.138,2015-05-19
26.008,-81.149,2015-05-19
26.01,-81.103,2015-05-19
26.011,-98.486,2015-03-12
26.011,-81.15,2015-05-18
26.011,-80.503,2015-08-21
26.011,-80.503,2015-08-21
26.012,-81.114,2015-05-19
26.013,-80.514,2015-08-21
26.013,-80.514,2015-08-21
26.013,-80.514,2015-08-21
26.014,-98.132,2015-08-06
26.014,-81.125,2015-05-19
26.016,-81.107,2015-05-19
26.018,-81.152,2015-05-18
26.02,-81.141,2015-05-18
26.021,-98.711,2015-09-05
26.021,-81.137,2015-05-17
26.025,-81.114,2015-05-20
26.025,-81.108,2015-05-18
26.027,-81.097,2015-05-18
26.028,-97.65,2015-04-28
26.028,-81.554,2015-02-13
26.028,-81.086,2015-05-17
26.03,-81.097,2015-05-17
26.03,-80.736,2015-02-10
26.031,-97.677,2015-04-30
26.031,-81.466,2015-04-19
26.033,-80.753,2015-02-10
26.035,-81.536,2015-02-04
26.035,-81.091,2015-05-16
26.036,-81.129,2015-05-15
